E,S,T,candidate_distance_evaluations,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,coverage_distance_evaluations,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,rescued_observations,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
605,29790,9798,29790,0,0.0,0,True,14,14,605,188191,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01850912800000515,True,0.43835208299969963,True,614,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,193757184,2,0,run_00000.json,1,614,0.2834879900001397,0.7403492009998445,1,[]
536578,114103,934413,114085,0,0.02915977459658914,0,False,438,440,529114,17484963,True,mixture,0.9999534106220055,1.0,0.9999534106220055,False,False,True,inverted,0.8371508589989389,True,0.9521611199998006,True,5906,False,31,0,1.0,0.9997283894369776,0.0,False,verified_hnsw_partial,402456576,2,18,run_00001.json,2,5906,26.179131393000716,27.968443371999456,1,[]
601,29797,9800,29795,0,0.0,12140000,True,9,9,601,184511,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01809552499980782,True,0.4394248509997851,True,607,True,0,0,1.0,1.0,0.6784236050007166,True,verified_hnsw_complete,201105408,2,1,run_00002.json,2,607,0.2771865799986699,1.4131305609989795,1,[]
601,29795,9799,,0,0.00037007307853165194,0,True,9,9,601,,False,curve,1.0,1.0,1.0,False,False,True,inverted,0.01848496200000227,True,0.44458846599991375,False,607,False,2,0,1.0,0.9999328791489076,0.18586736299948825,False,hnsw,192520192,1,,run_00003.json,2,608,0.20931765900058963,0.8582584499999939,1,[]
558534,112872,934006,112828,0,0.0,121800000,True,478,478,558534,18589756,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7129606589987816,True,0.9630961090006167,True,6090,True,0,0,1.0,1.0,7.247733955000513,True,verified_hnsw_complete,378372096,1,15,run_00004.json,1,6090,26.885520821000682,35.80931154400059,1,[]
518327,105478,836733,105456,0,0.020305088952056405,0,True,532,532,513176,19687004,True,mixture,0.9999826367452772,1.0,0.9999826367452772,False,False,True,inverted,0.7983923490010056,True,0.9492554850003216,True,6264,False,19,0,1.0,0.9998199000919458,0.0,False,verified_hnsw_partial,394776576,1,22,run_00005.json,0,6264,28.355488193999918,30.103136028001245,1,[]
592,29557,9561,29557,0,0.0,0,True,17,17,592,182710,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01749607300007483,True,0.4352425809993292,True,605,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,193818624,0,0,run_00006.json,0,605,0.2763896139986173,0.7291282679980213,1,[]
873322,114453,1215873,114302,0,0.7266382798552513,0,False,749,764,682318,23242550,True,gaussian,0.9989339482576002,1.0,0.9989339482576002,False,False,True,sparse,1.0815434150008514,True,1.196898066000358,True,6747,False,469,0,1.0,0.9959189711282435,0.0,False,verified_hnsw_partial,483508224,1,151,run_00007.json,0,6747,33.755846721000125,36.034288202001335,1,[]
953479,127524,1414466,,0,0.7075763940811157,0,False,526,543,635243,,False,gaussian,0.9984899274390238,1.0,0.9984899274390238,False,False,True,sparse,1.1635945710004307,True,1.2244498729996849,False,6055,False,744,0,1.0,0.99419964449434,21.10136570299983,False,hnsw,509972480,2,,run_00008.json,1,6146,20.7329976660003,44.222407813000245,1,[]
839166,114018,1148407,,0,0.429912805557251,0,False,795,811,611914,,False,gaussian,0.998936979426445,1.0,0.998936979426445,False,False,True,inverted,1.2340283369994722,True,1.2203629739997268,False,6868,False,500,0,1.0,0.9956338741507885,23.9368624990002,False,hnsw,522829824,2,,run_00009.json,2,6950,23.716701129000285,50.10795493899968,1,[]
840059,114518,1150593,114018,0,0.0,137360000,True,795,795,840059,24021671,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.0287620019989845,True,1.2256805100005295,True,6868,True,0,0,1.0,1.0,8.479666137000095,True,verified_hnsw_complete,472412160,1,126,run_00010.json,2,6868,34.93054078999921,45.66464943899882,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01919281300069997,True,0.49281045899988385,True,605,False,0,0,1.0,1.0,0.1924953860016103,True,hnsw,192196608,2,,run_00011.json,0,605,0.2200110690009751,0.9245097270031692,1,[]
558534,112872,934006,112828,0,0.0,121800000,True,478,478,558534,18589756,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7108783010007755,True,0.9633510610001395,True,6090,True,0,0,1.0,1.0,7.179623830999844,True,verified_hnsw_complete,378925056,0,15,run_00012.json,1,6090,27.333665947000554,36.187519140001314,1,[]
558534,112872,934006,112828,0,0.0,121800000,True,478,478,558534,18589756,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7214630830003443,True,1.0683552569989843,True,6090,True,0,0,1.0,1.0,7.261183085000084,True,verified_hnsw_complete,378089472,2,15,run_00013.json,1,6090,31.165356773000894,40.21635819800031,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.019194967000657925,True,0.441871942999569,True,605,False,0,0,1.0,1.0,0.18446204800056876,True,hnsw,192532480,1,,run_00014.json,0,605,0.21037533000162512,0.8559042880024208,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01621243199952005,True,0.43477305399937904,True,605,False,0,0,1.0,1.0,0.18214894700031437,True,hnsw,187564032,0,,run_00015.json,0,605,0.2096586789994035,0.842793111998617,1,[]
605,29790,9798,,0,0.0,0,True,14,14,605,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.0172073330013518,True,0.43659844099965994,True,614,False,0,0,1.0,1.0,0.20146355200085964,True,hnsw,187502592,2,,run_00016.json,1,614,0.26821598899914534,0.9234853150010167,1,[]
601,29796,9799,29795,0,0.00013057032175506356,0,True,9,9,601,184511,True,curve,1.0,1.0,1.0,False,False,True,inverted,0.01936363499953586,True,0.4779113989989128,True,607,False,1,0,1.0,0.9999664395744539,0.0,False,verified_hnsw_partial,193724416,2,1,run_00017.json,2,607,0.2996124270011933,0.7968874609996419,1,[]
839187,114144,1148462,114018,0,0.3711705207824707,0,False,795,805,651401,24021671,True,gaussian,0.998961977670616,1.0,0.998961977670616,False,False,True,inverted,1.2857773109990376,True,1.2208220550000988,True,6868,False,374,0,1.0,0.9967341378647898,0.0,False,verified_hnsw_partial,525078528,2,126,run_00018.json,2,6868,34.99047866000001,37.497078025999144,1,[]
558534,112872,934006,112828,0,0.0,121800000,True,478,478,558534,18589756,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8417789260001882,True,0.9540906769998401,True,6090,True,0,0,1.0,1.0,7.834424239001237,True,verified_hnsw_complete,409722880,0,15,run_00019.json,1,6090,27.091770941000505,36.72206478300177,1,[]
953479,127524,1414466,,0,0.7075763940811157,0,False,526,543,635243,,False,gaussian,0.9984899274390238,1.0,0.9984899274390238,False,False,True,inverted,1.4508355189991562,True,1.223579082001379,False,6055,False,744,0,1.0,0.99419964449434,21.164487336998718,False,hnsw,562335744,0,,run_00020.json,1,6146,20.7078457610005,44.54674769899975,1,[]
601,29797,9800,29795,0,0.0,12140000,True,9,9,601,184511,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.016633918001389247,True,0.4465089219993388,True,607,True,0,0,1.0,1.0,0.7002876129990909,True,verified_hnsw_complete,196845568,0,1,run_00021.json,2,607,0.2877501860002667,1.4511806390000856,1,[]
874254,114922,1219045,114302,0,0.0,134940000,True,749,749,874254,23242550,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,1.307435152000835,True,1.2194671160013968,True,6747,True,0,0,1.0,1.0,7.996397627999613,True,verified_hnsw_complete,537640960,1,151,run_00022.json,0,6747,34.0967914440007,44.620091340002546,1,[]
592,29557,9561,29557,0,0.0,0,True,17,17,592,182710,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017011269999784417,True,0.4405052109996177,True,605,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,194093056,2,0,run_00023.json,0,605,0.2803540000004432,0.7378704809998453,1,[]
558523,112843,933906,112828,0,0.02724588438868525,0,True,478,478,551605,18589756,True,mixture,0.999980305585694,1.0,0.999980305585694,False,False,True,sparse,0.7017468939993705,True,0.955629793999833,True,6090,False,29,0,1.0,0.999743071798143,0.0,False,verified_hnsw_partial,378814464,2,15,run_00024.json,1,6090,27.34620873700078,29.003585424999983,1,[]
592,29557,9561,29557,0,0.0,12100000,True,17,17,592,182710,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01667623600042134,True,0.4491145770007279,True,605,True,0,0,1.0,1.0,0.6972006439991674,True,verified_hnsw_complete,196435968,2,0,run_00025.json,0,605,0.28106858899991494,1.4440600460002315,1,[]
605,29790,9798,29790,0,0.0,12280000,True,14,14,605,188191,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018921446000604192,True,0.45432101400001557,True,614,True,0,0,1.0,1.0,0.7004860760007432,True,verified_hnsw_complete,200560640,0,0,run_00026.json,1,614,0.28325484999913897,1.456983386000502,1,[]
953502,127667,1414558,127524,0,0.7075763940811157,0,False,526,538,677578,18777574,True,gaussian,0.998514013201092,1.0,0.998514013201092,False,False,True,sparse,1.1564653129989892,True,1.2270028599996294,True,6055,False,601,0,1.0,0.9953144977702935,0.0,False,verified_hnsw_partial,510513152,2,143,run_00027.json,1,6055,29.93705627700001,32.32052444999863,1,[]
518323,105456,836723,,0,0.08852562142743015,0,True,532,532,507807,,False,mixture,0.9999749197431782,1.0,0.9999749197431782,False,False,True,inverted,0.7948369610003283,True,0.9474711580005533,False,6264,False,41,0,1.0,0.999611363356304,7.48778848099937,False,hnsw,392937472,0,,run_00028.json,0,6279,17.50529595700027,26.735392557000523,1,[]
601,29796,9799,29795,0,0.00013057032175506356,0,True,9,9,601,184511,True,curve,1.0,1.0,1.0,False,False,True,inverted,0.017652413000178058,True,0.4506878680003865,True,607,False,1,0,1.0,0.9999664395744539,0.0,False,verified_hnsw_partial,194428928,1,1,run_00029.json,2,607,0.28081569300047704,0.7491559740010416,1,[]
536603,114134,934543,114085,0,0.0,118120000,True,438,438,536603,17484963,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8376617899994017,True,0.9434562040005403,True,5906,True,0,0,1.0,1.0,6.977725512999314,True,verified_hnsw_complete,402767872,0,18,run_00030.json,2,5906,26.675441147001038,35.434284654000294,1,[]
605,29790,9798,29790,0,0.0,12280000,True,14,14,605,188191,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.019118952001008438,True,0.4429244689999905,True,614,True,0,0,1.0,1.0,0.7172120049999648,True,verified_hnsw_complete,200818688,1,0,run_00031.json,1,614,0.28555716300070344,1.4648125890016672,1,[]
536574,114085,934392,,0,0.02915977459658914,0,False,438,441,525077,,False,mixture,0.9999459563215264,1.0,0.9999459563215264,False,False,True,inverted,0.821985209999184,True,0.9516783149992989,False,5906,False,49,0,1.0,0.9995706800778033,7.0097369980012445,False,hnsw,399618048,1,,run_00032.json,2,5906,16.674128296001072,25.4575288190008,1,[]
592,29557,9561,29557,0,0.0,0,True,17,17,592,182710,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01646803000039654,True,0.43398766899917973,True,605,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,193986560,0,0,run_00033.json,0,605,0.27555360899896186,0.7260093079985381,1,[]
558523,112843,933906,112828,0,0.02724588438868525,0,True,478,478,551605,18589756,True,mixture,0.999980305585694,1.0,0.999980305585694,False,False,True,inverted,0.8526605600000039,True,0.9480580550007289,True,6090,False,29,0,1.0,0.999743071798143,0.0,False,verified_hnsw_partial,409366528,2,15,run_00034.json,1,6090,26.960525263999443,28.761243879000176,1,[]
601,29797,9800,29795,0,0.0,12140000,True,9,9,601,184511,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01907830200070748,True,0.4488700419988163,True,607,True,0,0,1.0,1.0,0.7159187689994724,True,verified_hnsw_complete,201359360,1,1,run_00035.json,2,607,0.2798800159998791,1.4637471289988753,1,[]
874254,114922,1219045,114302,0,0.0,134940000,True,749,749,874254,23242550,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.0664412300011463,True,1.1977729160007584,True,6747,True,0,0,1.0,1.0,7.680641098999331,True,verified_hnsw_complete,483479552,2,151,run_00036.json,0,6747,35.90131975099939,45.84617499600063,1,[]
839187,114144,1148462,114018,0,0.3711705207824707,0,False,795,805,651401,24021671,True,gaussian,0.998961977670616,1.0,0.998961977670616,False,False,True,inverted,1.2377790119990095,True,1.2031698219998361,True,6868,False,374,0,1.0,0.9967341378647898,0.0,False,verified_hnsw_partial,525086720,1,126,run_00037.json,2,6868,34.804199987000175,37.24514882099902,1,[]
518327,105478,836733,105456,0,0.020305088952056405,0,True,532,532,513176,19687004,True,mixture,0.9999826367452772,1.0,0.9999826367452772,False,False,True,inverted,0.7755754720001278,True,0.9421329029992194,True,6264,False,19,0,1.0,0.9998199000919458,0.0,False,verified_hnsw_partial,395182080,2,22,run_00038.json,0,6264,27.934713935999753,29.6524223109991,1,[]
