E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
26757,25869,29347,0,1.9382469292197908,0,False,795,6864,4,False,gaussian,0.03185133425152281,1.0,0.03185133425152281,False,False,True,inverted,0.10709083400070085,True,0.03673777600124595,False,6868,False,88649,0,1.0,0.22589461918650344,0.15694953799902578,False,ivf,197160960,0,run_00000.json,2,9848,0.8179675299979863,1.1187456779989589,1,[]
85880,43697,111848,0,0.716121276219686,0,False,438,5887,19,False,mixture,0.16004383128681726,1.0,0.16004383128681726,False,False,True,sparse,0.20914047400219715,True,0.041518947000440676,False,5906,False,70437,0,1.0,0.3828569926577532,0.17418883699792787,False,ivf,210534400,2,run_00001.json,2,7633,0.7205884229988442,1.1454366809994099,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01886940999975195,True,0.040243073999590706,True,607,False,0,0,1.0,1.0,0.026388524998765206,True,ivf,186585088,1,run_00002.json,2,607,0.07287623699812684,0.1583772459962347,1,[]
85880,43697,111848,0,0.716121276219686,0,False,438,5887,19,False,mixture,0.16004383128681726,1.0,0.16004383128681726,False,False,True,sparse,0.16530081699966104,True,0.04041041500022402,False,5906,False,70437,0,1.0,0.3828569926577532,0.14540333400145755,False,ivf,211402752,1,run_00003.json,2,7633,0.6900287909993494,1.041143357000692,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.020084310999664012,True,0.03813349700067192,True,614,False,0,0,1.0,1.0,0.0202947440011485,True,ivf,186585088,2,run_00004.json,1,614,0.06668041699958849,0.14519296900107292,1,[]
26107,25466,28505,0,2.295074710389599,0,False,749,6739,8,False,gaussian,0.029862030942952505,1.0,0.029862030942952505,False,False,True,sparse,0.11146077300145407,True,0.03903578500103322,False,6747,False,89456,0,1.0,0.22159377664850943,0.16461601600167342,False,ivf,191594496,1,run_00005.json,0,9753,0.7893743540007563,1.104486928004917,1,[]
69134,40432,84983,0,0.729743555188179,0,False,478,6078,12,False,mixture,0.12377760351205119,1.0,0.12377760351205119,False,False,True,sparse,0.1789667900011409,True,0.04773837099855882,False,6090,False,72440,0,1.0,0.3582110709476221,0.1552516049996484,False,ivf,205926400,2,run_00006.json,1,7872,0.6677892860025167,1.0497460520018649,1,[]
26757,25869,29347,0,1.9382469292197908,0,False,795,6864,4,False,gaussian,0.03185133425152281,1.0,0.03185133425152281,False,False,True,inverted,0.10160893500142265,True,0.038040605999412946,False,6868,False,88649,0,1.0,0.22589461918650344,0.14728689799812855,False,ivf,197279744,2,run_00007.json,2,9848,0.7758771759981755,1.0628136149971397,1,[]
29076,26865,32470,0,2.4398670569062233,0,False,526,6052,3,False,gaussian,0.030448592082486403,1.0,0.030448592082486403,False,False,True,inverted,0.10399494499870343,True,0.03848745399955078,False,6055,False,101403,0,1.0,0.20944428852090935,0.14093547000084072,False,ivf,197865472,0,run_00008.json,1,8951,0.720367065998289,1.003784934997384,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.022546308999153553,True,0.043558748002396896,True,607,False,0,0,1.0,1.0,0.02442715199867962,True,ivf,186585088,1,run_00009.json,2,607,0.07324905000132276,0.16378125900155283,1,[]
29076,26865,32470,0,2.4398670569062233,0,False,526,6052,3,False,gaussian,0.030448592082486403,1.0,0.030448592082486403,False,False,True,sparse,0.10947488300007535,True,0.0455384890010464,False,6055,False,101403,0,1.0,0.20944428852090935,0.14777145900006872,False,ivf,192106496,1,run_00010.json,1,8951,0.776749976001156,1.0795348070023465,1,[]
26107,25466,28505,0,2.295074710389599,0,False,749,6739,8,False,gaussian,0.029862030942952505,1.0,0.029862030942952505,False,False,True,sparse,0.10163246899901424,True,0.03804975500315777,False,6747,False,89456,0,1.0,0.22159377664850943,0.1476997300014773,False,ivf,191365120,2,run_00011.json,0,9753,0.7853297039982863,1.0727116580019356,1,[]
