E,S,T,candidate_distance_evaluations,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,coverage_distance_evaluations,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,rescued_observations,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
605,29790,9798,29790,0,0.0,0,True,14,14,605,188191,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.020138013000178034,True,0.46399766099966655,True,614,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,193888256,2,0,run_00000.json,1,614,0.26058960299997125,0.7447252769998158,1,[]
536059,113769,931726,113678,0,0.08816880484422052,0,False,438,446,468537,17724107,True,mixture,0.998986215134839,1.0,0.998986215134839,False,False,True,inverted,0.8615329469994322,True,1.0062511119995179,True,5906,False,365,0,1.0,0.9968020046611877,0.0,False,verified_hnsw_partial,401932288,2,91,run_00001.json,2,5906,22.128265166000347,23.996049224999297,1,[]
601,29797,9800,29795,0,0.0,12140000,True,9,9,601,184511,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.020235406000210787,True,0.650204092000422,True,607,True,0,0,1.0,1.0,0.8995745690008334,True,verified_hnsw_complete,201060352,2,1,run_00002.json,2,607,0.2812608869990072,1.8512749540004734,1,[]
601,29795,9799,,0,0.00037007307853165194,0,True,9,9,601,,False,curve,1.0,1.0,1.0,False,False,True,inverted,0.018506092001189245,True,0.48493865100135736,False,607,False,2,0,1.0,0.9999328791489076,0.13822636700024304,False,hnsw,191967232,1,,run_00003.json,2,608,0.1696283420005784,0.8112994520033681,1,[]
558534,112872,934006,112504,0,0.0,121800000,True,478,478,558534,18756376,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7420657430011488,True,1.0233561790009844,True,6090,True,0,0,1.0,1.0,9.114483187999213,True,verified_hnsw_complete,379056128,1,75,run_00004.json,1,6090,22.63516569499916,33.515070805000505,1,[]
517872,105244,835017,105169,0,0.12529019142190614,0,False,532,538,463519,19834732,True,mixture,0.9991048277565131,1.0,0.9991048277565131,False,False,True,inverted,0.8255752800014307,True,0.9771002080015023,True,6264,False,253,0,1.0,0.9976018275401196,0.0,False,verified_hnsw_partial,394833920,1,75,run_00005.json,0,6264,21.63071027299884,23.433385761001773,1,[]
592,29557,9561,29557,0,0.0,0,True,17,17,592,182710,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018436493000990595,True,0.4457436939992476,True,605,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,194174976,0,0,run_00006.json,0,605,0.2343945579996216,0.6985747449998598,1,[]
864223,112459,1192410,112095,0,0.7710670828819275,0,False,749,844,326900,23929736,True,gaussian,0.9885262177811025,1.0,0.9885262177811025,False,False,True,sparse,1.10916250199989,True,1.2462334399988322,True,6747,False,2463,0,1.0,0.9785680722577053,0.0,False,verified_hnsw_partial,480780288,1,364,run_00007.json,0,6747,34.07677687700016,36.43217281899888,1,[]
940504,124630,1380528,,0,0.7075763940811157,0,False,526,701,233012,,False,gaussian,0.9849024160113768,1.0,0.9849024160113768,False,False,True,sparse,1.1597725119991082,True,1.276610630000505,False,6055,False,3638,0,1.0,0.9716375089656033,17.84519028700015,False,hnsw,505868288,2,,run_00008.json,1,6301,19.51318515099956,39.794758579999325,1,[]
830440,112112,1128489,,0,0.8076214790344238,0,False,795,904,289289,,False,gaussian,0.9885496137771276,1.0,0.9885496137771276,False,False,True,inverted,1.2325769569997647,True,1.260971427000186,False,6868,False,2406,0,1.0,0.9789902024135944,20.288421406999987,False,hnsw,519659520,2,,run_00009.json,2,7061,22.110181187999842,44.89215097899978,1,[]
840059,114518,1150593,112112,0,0.0,137360000,True,795,795,840059,24668095,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.0352067650001118,True,1.2537472210005944,True,6868,True,0,0,1.0,1.0,8.497065802999714,True,verified_hnsw_complete,473153536,1,330,run_00010.json,2,6868,34.80141382900001,45.58743361800043,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01861451200056763,True,0.451463301998956,True,605,False,0,0,1.0,1.0,0.13635826599966094,True,hnsw,192376832,2,,run_00011.json,0,605,0.16598373900160368,0.7724198190007883,1,[]
558534,112872,934006,112504,0,0.0,121800000,True,478,478,558534,18756376,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7047124590008025,True,0.9840647889996035,True,6090,True,0,0,1.0,1.0,7.682171481999831,True,verified_hnsw_complete,378998784,0,75,run_00012.json,1,6090,21.048846069999854,30.41979480000009,1,[]
558534,112872,934006,112504,0,0.0,121800000,True,478,478,558534,18756376,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7216794209998625,True,0.994802465000248,True,6090,True,0,0,1.0,1.0,7.765593903999616,True,verified_hnsw_complete,378716160,2,75,run_00013.json,1,6090,21.002138891999493,30.48421468199922,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018189988999438356,True,0.4425018110014207,True,605,False,0,0,1.0,1.0,0.13548522499877436,True,hnsw,192356352,1,,run_00014.json,0,605,0.16750528699958522,0.7636823119992187,1,[]
