E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
840059,114518,1150593,0,0.0,0,True,795,795,840059,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,1.2227336590003688,True,0.03617277400189778,True,6868,False,0,0,1.0,1.0,1.0143215520001831,True,ivf,518750208,0,run_00000.json,2,6868,1.4871417049980664,3.760369690000516,1,[]
536603,114134,934543,0,0.0,0,True,438,438,536603,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.6687992199986184,True,0.0353908990000491,True,5906,False,0,0,1.0,1.0,0.8688366130008944,True,ivf,366145536,2,run_00001.json,2,5906,1.2693279349987279,2.8423546669982898,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017280100997595582,True,0.035050282000156585,True,607,False,0,0,1.0,1.0,0.09421635500257253,True,ivf,186757120,1,run_00002.json,2,607,0.1432115160023386,0.2897582540026633,1,[]
536603,114134,934543,0,0.0,0,True,438,438,536603,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.674736983000912,True,0.035322874999110354,True,5906,False,0,0,1.0,1.0,0.8908754879994376,True,ivf,366292992,1,run_00003.json,2,5906,1.289607304999663,2.890542650999123,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01895420900109457,True,0.036619208000047365,True,614,False,0,0,1.0,1.0,0.09513135500310455,True,ivf,186757120,2,run_00004.json,1,614,0.14383835199987516,0.29454312400412164,1,[]
874254,114922,1219045,0,0.0,0,True,749,749,874254,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.0669828569989477,True,0.03537756099831313,True,6747,False,0,0,1.0,1.0,0.9996093980007572,True,ivf,478633984,1,run_00005.json,0,6747,1.4626040750008542,3.5645738909988722,1,[]
558534,112872,934006,0,0.0,0,True,478,478,558534,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.694734625001729,True,0.03561223200085806,True,6090,False,0,0,1.0,1.0,0.9036699530006445,True,ivf,373841920,2,run_00006.json,1,6090,1.308694129998912,2.9427109400021436,1,[]
840059,114518,1150593,0,0.0,0,True,795,795,840059,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,1.2173728259986092,True,0.03530129800128634,True,6868,False,0,0,1.0,1.0,1.0126290379994316,True,ivf,519196672,2,run_00007.json,2,6868,1.4845868290030921,3.7498899910024193,1,[]
954921,128268,1419251,0,0.0,0,True,526,526,954921,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,1.4068620610014477,True,0.03569925800184137,True,6055,False,0,0,1.0,1.0,0.9069313620020694,True,ivf,558899200,0,run_00008.json,1,6055,1.329170516000886,3.6786631970062444,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018076860000292072,True,0.036845013997663045,True,607,False,0,0,1.0,1.0,0.09360980199926416,True,ivf,186757120,1,run_00009.json,2,607,0.14283768800305552,0.2913693640002748,1,[]
