E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
636790,99988,803781,0,1.2709623575210571,0,False,795,3935,14267,False,gaussian,0.7580300907436264,1.0,0.7580300907436264,False,False,True,inverted,0.9508277079985419,True,0.03802612200161093,False,6868,False,14530,0,1.0,0.8731203828219145,0.5936990740010515,False,ivf,428249088,0,run_00000.json,2,6970,1.0623810119977861,2.6449339159989904,1,[]
536603,114134,934543,0,0.0,0,True,438,438,536603,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7069685429996753,True,0.03919555600077729,True,5906,False,0,0,1.0,1.0,0.5106100429984508,True,ivf,366145536,2,run_00001.json,2,5906,0.8778221669999766,2.13459630899888,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017350393998640357,True,0.037970757999573834,True,607,False,0,0,1.0,1.0,0.06585342899779789,True,ivf,185868288,1,run_00002.json,2,607,0.12044648499795585,0.24162106599396793,1,[]
536603,114134,934543,0,0.0,0,True,438,438,536603,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7020432879980945,True,0.03964904499662225,True,5906,False,0,0,1.0,1.0,0.49496704200282693,True,ivf,365694976,1,run_00003.json,2,5906,0.913813757000753,2.1504731319982966,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.019407085001148516,True,0.03982903400174109,True,614,False,0,0,1.0,1.0,0.06417564699950162,True,ivf,185868288,2,run_00004.json,1,614,0.11024276799798827,0.2336545340003795,1,[]
658167,99853,837904,0,0.9750968441367149,0,False,749,3908,13642,False,gaussian,0.7528327007940484,1.0,0.7528327007940484,False,False,True,sparse,0.8644381310004974,True,0.04052626100019552,False,6747,False,15069,0,1.0,0.8688762813038409,0.5894764240001678,False,ivf,405520384,1,run_00005.json,0,6883,1.037439939998876,2.5318807559997367,1,[]
558534,112872,934006,0,0.0,0,True,478,478,558534,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7530378730007214,True,0.03797343200130854,True,6090,False,0,0,1.0,1.0,0.5737377689983987,True,ivf,373690368,2,run_00006.json,1,6090,0.9250129940010083,2.289762068001437,1,[]
636790,99988,803781,0,1.2709623575210571,0,False,795,3935,14267,False,gaussian,0.7580300907436264,1.0,0.7580300907436264,False,False,True,inverted,0.9534678919990256,True,0.03850304599836818,False,6868,False,14530,0,1.0,0.8731203828219145,0.5873100140015595,False,ivf,428253184,2,run_00007.json,2,6970,1.0478305169999658,2.627111468998919,1,[]
723353,110709,970935,0,1.4777582883834839,0,False,526,3745,10192,False,gaussian,0.7575003586684134,1.0,0.7575003586684134,False,False,True,inverted,1.1255977630025882,True,0.03944793999835383,False,6055,False,17559,0,1.0,0.8631069323603705,0.5424235280006542,False,ivf,479039488,0,run_00008.json,1,6154,0.9455485840007896,2.6530178150023858,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018408863001241116,True,0.036633345000154804,True,607,False,0,0,1.0,1.0,0.061299787997995736,True,ivf,185868288,1,run_00009.json,2,607,0.10796549900260288,0.22430749500199454,1,[]
723353,110709,970935,0,1.4777582883834839,0,False,526,3745,10192,False,gaussian,0.7575003586684134,1.0,0.7575003586684134,False,False,True,sparse,0.8741354960002354,True,0.03548759800105472,False,6055,False,17559,0,1.0,0.8631069323603705,0.5132236709978315,False,ivf,427659264,1,run_00010.json,1,6154,0.9273574849976285,2.35020424999675,1,[]
658167,99853,837904,0,0.9750968441367149,0,False,749,3908,13642,False,gaussian,0.7528327007940484,1.0,0.7528327007940484,False,False,True,sparse,0.8495103370005381,True,0.04397669100217172,False,6747,False,15069,0,1.0,0.8688762813038409,0.621038335000776,False,ivf,405372928,2,run_00011.json,0,6883,1.0559717930009356,2.5704971560044214,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017403226000169525,True,0.03612505799901555,True,614,False,0,0,1.0,1.0,0.062041744000453036,True,ivf,185868288,0,run_00012.json,1,614,0.10866340900247451,0.22423343700211262,1,[]
723353,110709,970935,0,1.4777582883834839,0,False,526,3745,10192,False,gaussian,0.7575003586684134,1.0,0.7575003586684134,False,False,True,inverted,1.100869286001398,True,0.03753383000002941,False,6055,False,17559,0,1.0,0.8631069323603705,0.573295516998769,False,ivf,478789632,1,run_00013.json,1,6154,0.9451753360008297,2.656873969001026,1,[]
558534,112872,934006,0,0.0,0,True,478,478,558534,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.76659731700056,True,0.04316704099983326,True,6090,False,0,0,1.0,1.0,0.5923497490002774,True,ivf,373583872,0,run_00014.json,1,6090,0.9641766589993495,2.36629076600002,1,[]
518336,105497,836791,0,0.0,0,True,532,532,518336,True,mixture,1.0,1.0,1.0,True,True,True,inverted,1.013252470002044,True,0.04445597300218651,True,6264,False,0,0,1.0,1.0,0.6098014780000085,True,ivf,389025792,0,run_00015.json,0,6264,0.9909018590005871,2.658411780004826,1,[]
636790,99988,803781,0,1.2709623575210571,0,False,795,3935,14267,False,gaussian,0.7580300907436264,1.0,0.7580300907436264,False,False,True,sparse,0.9055642210005317,True,0.041213660002540564,False,6868,False,14530,0,1.0,0.8731203828219145,0.6473920790012926,False,ivf,398999552,2,run_00016.json,2,6970,1.0526024289974885,2.6467723890018533,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01756171099987114,True,0.03993305599942687,True,614,False,0,0,1.0,1.0,0.061888144999102224,True,ivf,185868288,2,run_00017.json,1,614,0.10817160799706471,0.22755451999546494,1,[]
723353,110709,970935,0,1.4777582883834839,0,False,526,3745,10192,False,gaussian,0.7575003586684134,1.0,0.7575003586684134,False,False,True,sparse,0.9143802379985573,True,0.03773702999751549,False,6055,False,17559,0,1.0,0.8631069323603705,0.5302244029990106,False,ivf,427491328,2,run_00018.json,1,6154,0.945655170999089,2.4279968419941724,1,[]
518336,105497,836791,0,0.0,0,True,532,532,518336,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7158032989973435,True,0.041012325000338024,True,6264,False,0,0,1.0,1.0,0.5351181660007569,True,ivf,360230912,0,run_00019.json,0,6264,0.9473530719988048,2.2392868619972432,1,[]
536603,114134,934543,0,0.0,0,True,438,438,536603,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8773762060009176,True,0.03561693399751675,True,5906,False,0,0,1.0,1.0,0.4970065630004683,True,ivf,394878976,0,run_00020.json,2,5906,0.8832020250010828,2.2932017279999855,1,[]
658167,99853,837904,0,0.9750968441367149,0,False,749,3908,13642,False,gaussian,0.7528327007940484,1.0,0.7528327007940484,False,False,True,sparse,0.8717505140011781,True,0.04195819900269271,False,6747,False,15069,0,1.0,0.8688762813038409,0.5950268919987138,False,ivf,405278720,0,run_00021.json,0,6883,1.1284154929999204,2.637151098002505,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018509680998249678,True,0.0351981749990955,True,607,False,0,0,1.0,1.0,0.06170631900022272,True,ivf,185921536,0,run_00022.json,2,607,0.10917627900198568,0.22459045399955357,1,[]
592,29557,9561,0,0.0,0,True,17,17,592,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017860993997601327,True,0.035338278001290746,True,605,False,0,0,1.0,1.0,0.062464867001835955,True,ivf,185868288,2,run_00023.json,0,605,0.10871413799759466,0.2243782769983227,1,[]
723353,110709,970935,0,1.4777582883834839,0,False,526,3745,10192,False,gaussian,0.7575003586684134,1.0,0.7575003586684134,False,False,True,inverted,1.0905139249989588,True,0.03689511599804973,False,6055,False,17559,0,1.0,0.8631069323603705,0.5139004170014232,False,ivf,479334400,2,run_00024.json,1,6154,0.9266607200006547,2.5679701779990864,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017093786998884752,True,0.03838868399907369,True,607,False,0,0,1.0,1.0,0.06148884299909696,True,ivf,185868288,0,run_00025.json,2,607,0.1082426579996536,0.225213971996709,1,[]
