E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
512146,104764,821494,0,0.16924587388833362,0,False,532,552,406387,False,mixture,0.9880579392517594,1.0,0.9880579392517594,False,False,True,sparse,0.6633250929990027,True,0.03630265399988275,False,6264,False,733,0,1.0,0.9930519351261173,0.3521089839996421,False,ivf,357163008,2,run_00041.json,0,6266,0.7410018319969822,1.7927385629955097,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017776169999706326,True,0.03822330700131715,True,614,False,0,0,1.0,1.0,0.041856764000840485,True,ivf,186200064,1,run_00042.json,1,614,0.08851697700083605,0.18637321800270001,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018807526997989044,True,0.037323394000850385,True,614,False,0,0,1.0,1.0,0.041635155997937545,True,ivf,186200064,1,run_00043.json,1,614,0.08748953299800633,0.1852556099947833,1,[]
549782,111651,910113,0,0.1675530572732291,0,False,478,537,450131,False,mixture,0.9843304078176083,1.0,0.9843304078176083,False,False,True,inverted,0.87368454800162,True,0.0372380470034841,False,6090,False,1221,0,1.0,0.9891824367425048,0.32515572199918097,False,ivf,399048704,2,run_00044.json,1,6107,0.7234927369972866,1.9595710540015716,1,[]
592,29557,9561,0,0.0,0,True,17,17,592,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.019935403997806134,True,0.037557923002168536,True,605,False,0,0,1.0,1.0,0.04134873400107608,True,ivf,186200064,2,run_00045.json,0,605,0.08765030900030979,0.18649237000136054,1,[]
409022,83046,490045,0,1.4777582883834839,0,False,526,5626,536,False,gaussian,0.4283307205517525,1.0,0.4283307205517525,False,False,True,sparse,0.5442617630033055,True,0.03725180500259739,False,6055,False,45222,0,1.0,0.6474412947890354,0.3272208079979464,False,ivf,321191936,0,run_00046.json,1,6493,0.7769179099996109,1.6856522860034602,1,[]
549782,111651,910113,0,0.1675530572732291,0,False,478,537,450131,False,mixture,0.9843304078176083,1.0,0.9843304078176083,False,False,True,inverted,0.8917741680015752,True,0.03834350499892025,False,6090,False,1221,0,1.0,0.9891824367425048,0.3353448220004793,False,ivf,399433728,1,run_00047.json,1,6107,0.7310362239986716,1.9964987189996464,1,[]
511244,110609,869502,0,0.20873522758483887,0,False,438,928,322647,False,mixture,0.9527415985374662,1.0,0.9527415985374662,False,False,True,sparse,0.6835780659966986,True,0.03817183399951318,False,5906,False,3525,0,1.0,0.9691152504950321,0.3173035309991974,False,ivf,356978688,0,run_00048.json,2,5927,0.7058453530007682,1.7448987839961774,1,[]
592,29557,9561,0,0.0,0,True,17,17,592,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.018269883999892045,True,0.03838387400173815,True,605,False,0,0,1.0,1.0,0.044200310003361665,True,ivf,186200064,0,run_00049.json,0,605,0.09010762799880467,0.19096169600379653,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.018280708998645423,True,0.03879545200106804,True,607,False,0,0,1.0,1.0,0.04438336599923787,True,ivf,186200064,2,run_00050.json,2,607,0.09207018600136507,0.1935297130003164,1,[]
592,29557,9561,0,0.0,0,True,17,17,592,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.017439742001442937,True,0.038568744999793125,True,605,False,0,0,1.0,1.0,0.042594225000357255,True,ivf,186200064,1,run_00051.json,0,605,0.08906251300140866,0.18766522500300198,1,[]
369614,75827,428652,0,1.5621558342661177,0,False,749,6180,711,False,gaussian,0.42277644711948703,1.0,0.42277644711948703,False,False,True,inverted,0.5541957300010836,True,0.038021673000912415,False,6747,False,39095,0,1.0,0.6598127425558205,0.36058919100105413,False,ivf,336527360,2,run_00052.json,0,7188,0.8301170029990317,1.7829235970020818,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018972493999172002,True,0.0389087350013142,True,614,False,0,0,1.0,1.0,0.042189142001006985,True,ivf,186200064,0,run_00053.json,1,614,0.08842345900120563,0.18849383000269881,1,[]
