E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
70188,37361,76217,0,1.9382469292197908,0,False,795,6854,15,False,gaussian,0.08355127437477605,1.0,0.08355127437477605,False,False,True,inverted,0.1537086249991262,True,0.03699471499930951,False,6868,False,77157,0,1.0,0.32624565570478004,0.18082796899761888,False,ivf,214224896,0,run_00000.json,2,8824,0.7638139840018994,1.135345292997954,1,[]
210203,66174,291051,0,0.5224229097366333,0,False,438,5504,773,False,mixture,0.39172908090338665,1.0,0.39172908090338665,False,False,True,sparse,0.30865091499799746,True,0.03709448899826384,False,5906,False,47960,0,1.0,0.5797921741111325,0.17461878700123634,False,ivf,253964288,2,run_00001.json,2,6718,0.6148513529988122,1.1352155439963099,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.016745321001508273,True,0.036698902997159166,True,607,False,0,0,1.0,1.0,0.023579570999572752,True,ivf,186421248,1,run_00002.json,2,607,0.06965280800068285,0.14667660299892304,1,[]
210203,66174,291051,0,0.5224229097366333,0,False,438,5504,773,False,mixture,0.39172908090338665,1.0,0.39172908090338665,False,False,True,sparse,0.31055829300021287,True,0.038435315000242554,False,5906,False,47960,0,1.0,0.5797921741111325,0.17405264400076703,False,ivf,253722624,1,run_00003.json,2,6718,0.6103825689970108,1.1334288209982333,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018740846000582678,True,0.03847742899961304,True,614,False,0,0,1.0,1.0,0.024148922002495965,True,ivf,186421248,2,run_00004.json,1,614,0.0710181479989842,0.1523853450016759,1,[]
69634,37069,75577,0,1.8266571499407291,0,False,749,6730,17,False,gaussian,0.07964962127711168,1.0,0.07964962127711168,False,False,True,sparse,0.15023225500044646,True,0.038075487998867175,False,6747,False,77853,0,1.0,0.3225579088425193,0.18325858499883907,False,ivf,206516224,1,run_00005.json,0,8747,0.7471399130008649,1.1187062409990176,1,[]
178608,61245,224569,0,0.6199873238801956,0,False,478,5985,125,False,mixture,0.3197799954881887,1.0,0.3197799954881887,False,False,True,sparse,0.2721913410023262,True,0.03752157100097975,False,6090,False,51627,0,1.0,0.5426057835424197,0.16680883300068672,False,ivf,243441664,2,run_00006.json,1,6984,0.6142089050008508,1.0907306500048435,1,[]
70188,37361,76217,0,1.9382469292197908,0,False,795,6854,15,False,gaussian,0.08355127437477605,1.0,0.08355127437477605,False,False,True,inverted,0.15578580600049463,True,0.04004572999838274,False,6868,False,77157,0,1.0,0.32624565570478004,0.17959208200045396,False,ivf,214069248,2,run_00007.json,2,8824,0.7622172349983884,1.1376408529977198,1,[]
77938,39621,86325,0,2.4398670569062233,0,False,526,6047,8,False,gaussian,0.08161722278596868,1.0,0.08161722278596868,False,False,True,inverted,0.16413597299833782,True,0.03774827600136632,False,6055,False,88647,0,1.0,0.30889231920666105,0.1593117060001532,False,ivf,217001984,0,run_00008.json,1,8018,0.69433204699817,1.0555280019980273,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.02014473799863481,True,0.0371913550006866,True,607,False,0,0,1.0,1.0,0.0242587110005843,True,ivf,186421248,1,run_00009.json,2,607,0.07106067499989877,0.15265547899980447,1,[]
