dataset,n_samples,dimension,seed,target_ball_size,calibration_queries,epsilon,landmark_count,exact_landmark_seconds,configuration,factory,construction_params,search_params,train_size,train_seed,query_mode,candidate_k,exact_verify,cover_seconds,status,error,range_micro_recall,range_macro_recall,range_recall_p10,range_micro_precision,range_macro_precision,perfect_range_fraction,false_negative_count,false_positive_count,exact_edge_count,approximate_edge_count,edge_recall,edge_precision,edge_jaccard,exact_components,approximate_components,exact_cycle_rank,approximate_cycle_rank,flat_matches_greedy_cover
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,flat,Flat,{},{},,42,auto,,False,0.0046946380025474355,ok,,1.0,1.0,1.0,1.0,1.0,1.0,0,0,3073,3073,1.0,1.0,1.0,55,55,2815,2815,True
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,sq8,SQ8,{},{},,42,auto,,False,2.240016847001243,ok,,0.9932533733133433,0.9961777933148156,1.0,0.9928812289246909,0.9939840815816019,0.9009584664536742,18,19,3073,3080,0.9902375528799219,0.987987012987013,0.9784565916398714,55,55,2815,2822,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,sq8_verified,SQ8,{},{},,42,auto,,True,6.1077184440000565,ok,,0.9932533733133433,0.9961777933148156,1.0,1.0,1.0,0.952076677316294,18,0,3073,3043,0.9902375528799219,1.0,0.9902375528799219,55,55,2815,2785,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_flat_nprobe_1,"IVF16,Flat",{},"{""nprobe"": 1}",,42,auto,,False,0.2257911390006484,ok,,0.41904047976011993,0.5972962733961644,0.25,1.0,1.0,0.25559105431309903,1550,0,3073,333,0.1083631630328669,1.0,0.1083631630328669,55,138,2815,158,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_sq8_nprobe_1,"IVF16,SQ8",{},"{""nprobe"": 1}",,42,auto,,False,0.23549283199827187,ok,,0.4171664167916042,0.5966900010035541,0.25,0.9991023339317774,0.9993610223642173,0.25559105431309903,1555,1,3073,332,0.1080377481288643,1.0,0.1080377481288643,55,138,2815,157,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_sq8_verified_nprobe_1,"IVF16,SQ8",{},"{""nprobe"": 1}",,42,auto,,True,0.250790385001892,ok,,0.4171664167916042,0.5966900010035541,0.25,1.0,1.0,0.25559105431309903,1555,0,3073,332,0.1080377481288643,1.0,0.1080377481288643,55,138,2815,157,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_pq_nprobe_1,"IVF16,PQ16x4",{},"{""nprobe"": 1}",,42,knn,512,False,5.874697689003369,ok,,0.3875562218890555,0.566134134993918,0.22393162393162394,0.9199288256227758,0.9364597539902932,0.2108626198083067,1634,90,3073,336,0.09502115196876017,0.8690476190476191,0.09367982034007058,55,131,2815,154,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_pq_verified_nprobe_1,"IVF16,PQ16x4",{},"{""nprobe"": 1}",,42,knn,512,True,2.7554433469995274,ok,,0.3875562218890555,0.566134134993918,0.22393162393162394,1.0,1.0,0.23003194888178913,1634,0,3073,270,0.0878620240807029,1.0,0.0878620240807029,55,158,2815,115,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_flat_nprobe_2,"IVF16,Flat",{},"{""nprobe"": 2}",,42,auto,,False,0.22717023900258937,ok,,0.5652173913043478,0.7092678682333915,0.4,1.0,1.0,0.3194888178913738,1160,0,3073,818,0.2661893914741295,1.0,0.2661893914741295,55,87,2815,592,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_sq8_nprobe_2,"IVF16,SQ8",{},"{""nprobe"": 2}",,42,auto,,False,0.2399255300006189,ok,,0.5625937031484258,0.7083706003330243,0.4,0.9973421926910299,0.9986005297506895,0.3194888178913738,1167,4,3073,817,0.26553856166612433,0.9987760097919217,0.2654521795705921,55,87,2815,591,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_sq8_verified_nprobe_2,"IVF16,SQ8",{},"{""nprobe"": 2}",,42,auto,,True,0.24603519599986612,ok,,0.5625937031484258,0.7083706003330243,0.4,1.0,1.0,0.3194888178913738,1167,0,3073,815,0.2652131467621217,1.0,0.2652131467621217,55,87,2815,589,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_pq_nprobe_2,"IVF16,PQ16x4",{},"{""nprobe"": 2}",,42,knn,512,False,8.78324416599935,ok,,0.5194902548725637,0.6675312726434178,0.3333333333333333,0.9011703511053316,0.9225068120905208,0.2364217252396166,1282,152,3073,815,0.23625122030589002,0.8907975460122699,0.22960151802656548,55,78,2815,580,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_pq_verified_nprobe_2,"IVF16,PQ16x4",{},"{""nprobe"": 2}",,42,knn,512,True,5.540775443001621,ok,,0.5194902548725637,0.6675312726434178,0.3333333333333333,1.0,1.0,0.2779552715654952,1282,0,3073,672,0.21867881548974943,1.0,0.21867881548974943,55,95,2815,454,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_flat_nprobe_4,"IVF16,Flat",{},"{""nprobe"": 4}",,42,auto,,False,0.22289747299873852,ok,,0.7458770614692654,0.8495298108436898,0.5858974358974359,1.0,1.0,0.45686900958466453,678,0,3073,1705,0.5548324113244386,1.0,0.5548324113244386,55,62,2815,1454,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_sq8_nprobe_4,"IVF16,SQ8",{},"{""nprobe"": 4}",,42,auto,,False,0.24278817500089644,ok,,0.7421289355322339,0.8482496864337983,0.5732718894009217,0.9959758551307847,0.9981184669962624,0.4536741214057508,688,8,3073,1707,0.552879921900423,0.9953134153485648,0.5514443362544629,55,62,2815,1456,
isotropic_gaussian,1000,16,0,20,128,3.713603019714356,313,0.005906954997044522,ivf_sq8_verified_nprobe_4,"IVF16,SQ8",{},"{""nprobe"": 4}",,42,auto,,True,0.1762632179998036,ok,,0.7421289355322339,0.8482496864337983,0.5732718894009217,1.0,1.0,0.45686900958466453,688,0,3073,1696,0.5519036771884153,1.0,0.5519036771884153,55,62,2815,1445,
